stop_id,stop_name,lat,lon,route
Feeder_Koridor_2_18,"104° 45' 58,804"" E",-2.91833532,104.76633447,Feeder Koridor 2
Feeder_Koridor_2_19,"104° 46' 7,509"" E",-2.91808699047,104.768752405,Feeder Koridor 2
Feeder_Koridor_2_20,"104° 46' 7,919"" E",-2.91835815,104.76886635,Feeder Koridor 2
Feeder_Koridor_2_21,"104° 46' 14,228"" E",-2.92037110455,104.770618841,Feeder Koridor 2
Feeder_Koridor_2_22,"104° 46' 13,991"" E",-2.9203847,104.77055292,Feeder Koridor 2
Feeder_Koridor_2_23,"104° 46' 12,176"" E",-2.92349379555,104.770048924,Feeder Koridor 2
Feeder_Koridor_2_24,"104° 46' 12,367"" E",-2.92348302541,104.770101868,Feeder Koridor 2
Feeder_Koridor_2_25,"104° 46' 12,655"" E",-2.92668722924,104.770181845,Feeder Koridor 2
Feeder_Koridor_2_26,"104° 46' 12,814"" E",-2.92667241,104.7702262,Feeder Koridor 2
Feeder_Koridor_2_27,"104° 46' 12,882"" E",-2.92776128868,104.770244988,Feeder Koridor 2
Feeder_Koridor_2_28,"104° 46' 13,155"" E",-2.92789459,104.7703208,Feeder Koridor 2
Feeder_Koridor_2_29,"104° 46' 20,274"" E",-2.9289333,104.77229821,Feeder Koridor 2
Feeder_Koridor_2_30,"104° 46' 20,483"" E",-2.92898231253,104.772356522,Feeder Koridor 2
Feeder_Koridor_2_31,"104° 46' 29,263"" E",-2.9290902,104.77479526,Feeder Koridor 2
Feeder_Koridor_2_32,"104° 46' 29,662"" E",-2.92897237,104.77490599,Feeder Koridor 2
Feeder_Koridor_2_33,"104° 46' 36,259"" E",-2.92756053645,104.776738646,Feeder Koridor 2
Feeder_Koridor_2_34,"104° 46' 36,490"" E",-2.92785724833,104.77680282,Feeder Koridor 2
Feeder_Koridor_2_35,"104° 46' 50,275"" E",-2.92928383794,104.78063184,Feeder Koridor 2
Feeder_Koridor_2_36,"104° 46' 51,347"" E",-2.92923946,104.78092981,Feeder Koridor 2
Feeder_Koridor_2_37,"104° 46' 56,495"" E",-2.92908207413,104.782359772,Feeder Koridor 2
Feeder_Koridor_2_38,"104° 46' 56,569"" E",-2.92926122972,104.782380182,Feeder Koridor 2
Feeder_Koridor_2_39,"104° 47' 1,023"" E",-2.93127445,104.78361746,Feeder Koridor 2
Feeder_Koridor_2_40,"104° 47' 1,289"" E",-2.93149893,104.78369134,Feeder Koridor 2
Feeder_Koridor_2_41,"104° 47' 9,818"" E",-2.93316006973,104.786060445,Feeder Koridor 2
Feeder_Koridor_2_42,"104° 47' 9,751"" E",-2.93327159,104.7860419,Feeder Koridor 2
Feeder_Koridor_2_43,"104° 47' 14,867"" E",-2.93371215,104.78746308,Feeder Koridor 2
Feeder_Koridor_2_44,"104° 47' 14,536"" E",-2.93381987,104.78737103,Feeder Koridor 2
Feeder_Koridor_2_45,"104° 47' 14,892"" E",-2.92809113,104.78746996,Feeder Koridor 2
Feeder_Koridor_2_46,"104° 47' 11,071"" E",-2.92261666,104.78640863,Feeder Koridor 2
Feeder_Koridor_2_47,"104° 47' 1,485"" E",-2.9224854,104.78374597,Feeder Koridor 2
Feeder_Koridor_2_48,"104° 47' 23,162"" E",-2.92208662,104.78976712,Feeder Koridor 2
Feeder_Koridor_2_49,"104° 47' 51,092"" E",-2.92036649,104.79752559,Feeder Koridor 2
Feeder_Koridor_2_50,"104° 48' 11,216"" E",-2.91946255,104.80311542,Feeder Koridor 2
Feeder_Koridor_2_51,"104° 48' 27,049"" E",-2.91868376,104.80751353,Feeder Koridor 2
Feeder_Koridor_2_52,"104° 49' 10,626"" E",-2.91638225,104.81961827,Feeder Koridor 2
Feeder_Koridor_2_53,"104° 49' 28,712"" E",-2.92101408,104.82464216,Feeder Koridor 2
Feeder_Koridor_2_54,"104° 49' 16,591"" E",-2.93389265,104.82127522,Feeder Koridor 2
Feeder_Koridor_2_55,"104° 49' 13,983"" E",-2.93556708,104.82055092,Feeder Koridor 2
Feeder_Koridor_2_56,"104° 49' 25,889"" E",-2.94330021,104.8238581,Feeder Koridor 2
Feeder_Koridor_2_57,"104° 49' 22,316"" E",-2.94757306,104.82286567,Feeder Koridor 2
Feeder_Koridor_2_58,"104° 49' 19,759"" E",-2.9507519,104.82215538,Feeder Koridor 2
Feeder_Koridor_2_59,"104° 48' 53,940"" E",-2.94977253,104.81498322,Feeder Koridor 2
Feeder_Koridor_2_60,"104° 48' 20,540"" E",-2.94798657,104.80570556,Feeder Koridor 2
Feeder_Koridor_2_61,"104° 48' 12,813"" E",-2.94771056,104.80355927,Feeder Koridor 2
Feeder_Koridor_2_62,"104° 48' 0,926"" E",-2.94734692,104.80025731,Feeder Koridor 2
Feeder_Koridor_2_63,"104° 48' 2,661"" E",-2.94553623,104.80073927,Feeder Koridor 2
Feeder_Koridor_2_64,"104° 48' 4,705"" E",-2.94314597,104.80130688,Feeder Koridor 2
Feeder_Koridor_2_65,"104° 48' 7,941"" E",-2.93983044,104.80220579,Feeder Koridor 2
Feeder_Koridor_2_66,"104° 47' 54,700"" E",-2.93931313,104.79852789,Feeder Koridor 2
Feeder_Koridor_2_67,"104° 47' 41,095"" E",-2.93750616,104.79474869,Feeder Koridor 2
Feeder_Koridor_2_68,"104° 47' 29,428"" E",-2.93320456,104.79150791,Feeder Koridor 2
Feeder_Koridor_2_69,"104° 47' 24,299"" E",-2.93088625,104.79008312,Feeder Koridor 2
Feeder_Koridor_2_70,"104° 44' 56,102"" E",-2.9167583,104.74891709,Feeder Koridor 2
Feeder_Koridor_2_71,"104° 44' 57,225"" E",-2.91658736401,104.749229214,Feeder Koridor 2
Feeder_Koridor_3_1,Koridor 3 Feeder (Asrama Haji - Talang Betutu),-2.893893,104.680344,Feeder Koridor 3
Feeder_Koridor_3_2,Feeder Koridor 3 - Halte 2,-2.895906,104.688298,Feeder Koridor 3
Feeder_Koridor_3_3,Feeder Koridor 3 - Halte 3,-2.898227,104.694356,Feeder Koridor 3
Feeder_Koridor_3_4,Feeder Koridor 3 - Halte 4,-2.903703,104.699228,Feeder Koridor 3
Feeder_Koridor_3_5,Feeder Koridor 3 - Halte 5,-2.916197,104.704615,Feeder Koridor 3
Feeder_Koridor_3_6,Feeder Koridor 3 - Halte 6,-2.922329,104.710044,Feeder Koridor 3
Feeder_Koridor_3_7,Feeder Koridor 3 - Halte 7,-2.919994,104.711819,Feeder Koridor 3
Feeder_Koridor_3_8,Feeder Koridor 3 - Halte 8,-2.916219,104.712113,Feeder Koridor 3
Feeder_Koridor_3_9,Feeder Koridor 3 - Halte 9,-2.919492,104.711711,Feeder Koridor 3
Feeder_Koridor_3_10,Feeder Koridor 3 - Halte 10,-2.918147,104.705813,Feeder Koridor 3
Feeder_Koridor_3_11,Feeder Koridor 3 - Halte 11,-2.901022,104.698754,Feeder Koridor 3
Feeder_Koridor_3_12,Feeder Koridor 3 - Halte 12,-2.895949,104.688895,Feeder Koridor 3
