stop_id,name,longitude,latitude,route_type,route_name,sequence
AF_Koridor 1 - Talang Kelapa - Talang Buruk_36,Asrama Haji (A),104.72015984,-2.93774711,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,36
AF_Koridor 1 - Talang Kelapa - Talang Buruk_37,Asrama Haji (B),104.72074143,-2.94055561,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,37
AF_Koridor 1 - Talang Kelapa - Talang Buruk_38,Stasiun LRT Asrama Haji (B),104.72248886,-2.93967237,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,38
AF_Koridor 1 - Talang Kelapa - Talang Buruk_39,Halte Surveyor Indonesia (B),104.72266748,-2.93987947,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,39
AF_Koridor 1 - Talang Kelapa - Talang Buruk_40,Alfamart (B),104.72351509,-2.9402229,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,40
AF_Koridor 1 - Talang Kelapa - Talang Buruk_41,PDAM (B),104.72394057,-2.94063773,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,41
AF_Koridor 1 - Talang Kelapa - Talang Buruk_42,Griya Hero Abadi (B),104.72589485,-2.94149491,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,42
AF_Koridor 1 - Talang Kelapa - Talang Buruk_43,Springhill Talang Kelapa,104.72642096,-2.94190784,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,43
AF_Koridor 1 - Talang Kelapa - Talang Buruk_44,Simpang Empat Perumnas Tl. Kelapa,104.72788943,-2.94255547,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,44
AF_Koridor 1 - Talang Kelapa - Talang Buruk_45,Kantor Desa Tl. Kelapa,104.72821589,-2.94291005,angkot_feeder,Koridor 1 - Talang Kelapa - Talang Buruk,45
AF_Koridor 2 - Asrama Haji - Sematang Borang__1,Stop 1,104.71175651,-2.9195411,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,1
AF_Koridor 2 - Asrama Haji - Sematang Borang__2,Stop 2,104.71205783,-2.91670149,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,2
AF_Koridor 2 - Asrama Haji - Sematang Borang__3,Stop 3,104.716083861,-2.91011465013,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,3
AF_Koridor 2 - Asrama Haji - Sematang Borang__4,Stop 4,104.71629453,-2.91031668,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,4
AF_Koridor 2 - Asrama Haji - Sematang Borang__5,Stop 5,104.724832299,-2.90771488472,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,5
AF_Koridor 2 - Asrama Haji - Sematang Borang__6,Stop 6,104.72494742,-2.90782902,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,6
AF_Koridor 2 - Asrama Haji - Sematang Borang__7,Stop 7,104.730483794,-2.90477141573,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,7
AF_Koridor 2 - Asrama Haji - Sematang Borang__8,Stop 8,104.73047674,-2.90497292,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,8
AF_Koridor 2 - Asrama Haji - Sematang Borang__9,Stop 9,104.738298359,-2.90743138008,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,9
AF_Koridor 2 - Asrama Haji - Sematang Borang__10,Stop 10,104.73809742,-2.90766837,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,10
AF_Koridor 2 - Asrama Haji - Sematang Borang__11,Stop 11,104.740407103,-2.9095545581,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,11
AF_Koridor 2 - Asrama Haji - Sematang Borang__12,Stop 12,104.7403014,-2.90974137,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,12
AF_Koridor 2 - Asrama Haji - Sematang Borang__13,Stop 13,104.742913353,-2.91210752408,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,13
AF_Koridor 2 - Asrama Haji - Sematang Borang__14,Stop 14,104.74273271,-2.91221228,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,14
AF_Koridor 2 - Asrama Haji - Sematang Borang__15,Stop 15,104.760535901,-2.91805116326,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,15
AF_Koridor 2 - Asrama Haji - Sematang Borang__16,Stop 16,104.76063538,-2.91826254,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,16
AF_Koridor 2 - Asrama Haji - Sematang Borang__17,Stop 17,104.766285712,-2.91806385251,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,17
AF_Koridor 2 - Asrama Haji - Sematang Borang__18,Stop 18,104.76633447,-2.91833532,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,18
AF_Koridor 2 - Asrama Haji - Sematang Borang__19,Stop 19,104.768752405,-2.91808699047,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,19
AF_Koridor 2 - Asrama Haji - Sematang Borang__20,Stop 20,104.76886635,-2.91835815,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,20
AF_Koridor 2 - Asrama Haji - Sematang Borang__21,Stop 21,104.770618841,-2.92037110455,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,21
AF_Koridor 2 - Asrama Haji - Sematang Borang__22,Stop 22,104.77055292,-2.9203847,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,22
AF_Koridor 2 - Asrama Haji - Sematang Borang__23,Stop 23,104.770048924,-2.92349379555,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,23
AF_Koridor 2 - Asrama Haji - Sematang Borang__24,Stop 24,104.770101868,-2.92348302541,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,24
AF_Koridor 2 - Asrama Haji - Sematang Borang__25,Stop 25,104.770181845,-2.92668722924,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,25
AF_Koridor 2 - Asrama Haji - Sematang Borang__26,Stop 26,104.7702262,-2.92667241,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,26
AF_Koridor 2 - Asrama Haji - Sematang Borang__27,Stop 27,104.770244988,-2.92776128868,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,27
AF_Koridor 2 - Asrama Haji - Sematang Borang__28,Stop 28,104.7703208,-2.92789459,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,28
AF_Koridor 2 - Asrama Haji - Sematang Borang__29,Stop 29,104.77229821,-2.9289333,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,29
AF_Koridor 2 - Asrama Haji - Sematang Borang__30,Stop 30,104.772356522,-2.92898231253,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,30
AF_Koridor 2 - Asrama Haji - Sematang Borang__31,Stop 31,104.77479526,-2.9290902,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,31
AF_Koridor 2 - Asrama Haji - Sematang Borang__32,Stop 32,104.77490599,-2.92897237,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,32
AF_Koridor 2 - Asrama Haji - Sematang Borang__33,Stop 33,104.776738646,-2.92756053645,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,33
AF_Koridor 2 - Asrama Haji - Sematang Borang__34,Stop 34,104.77680282,-2.92785724833,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,34
AF_Koridor 2 - Asrama Haji - Sematang Borang__35,Stop 35,104.78063184,-2.92928383794,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,35
AF_Koridor 2 - Asrama Haji - Sematang Borang__36,Stop 36,104.78092981,-2.92923946,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,36
AF_Koridor 2 - Asrama Haji - Sematang Borang__37,Stop 37,104.782359772,-2.92908207413,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,37
AF_Koridor 2 - Asrama Haji - Sematang Borang__38,Stop 38,104.782380182,-2.92926122972,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,38
AF_Koridor 2 - Asrama Haji - Sematang Borang__39,Stop 39,104.78361746,-2.93127445,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,39
AF_Koridor 2 - Asrama Haji - Sematang Borang__40,Stop 40,104.78369134,-2.93149893,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,40
AF_Koridor 2 - Asrama Haji - Sematang Borang__41,Stop 41,104.786060445,-2.93316006973,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,41
AF_Koridor 2 - Asrama Haji - Sematang Borang__42,Stop 42,104.7860419,-2.93327159,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,42
AF_Koridor 2 - Asrama Haji - Sematang Borang__43,Stop 43,104.78746308,-2.93371215,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,43
AF_Koridor 2 - Asrama Haji - Sematang Borang__44,Stop 44,104.78737103,-2.93381987,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,44
AF_Koridor 2 - Asrama Haji - Sematang Borang__45,Stop 45,104.78746996,-2.92809113,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,45
AF_Koridor 2 - Asrama Haji - Sematang Borang__46,Stop 46,104.78640863,-2.92261666,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,46
AF_Koridor 2 - Asrama Haji - Sematang Borang__47,Stop 47,104.78374597,-2.9224854,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,47
AF_Koridor 2 - Asrama Haji - Sematang Borang__48,Stop 48,104.78976712,-2.92208662,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,48
