route_name,route_type,stop_id,stop_name,sequence,longitude,latitude
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_35,Stasiun LRT Asrama Haji (A),35,104.72001482,-2.93771013
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_36,Asrama Haji (A),36,104.72015984,-2.93774711
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_37,Asrama Haji (B),37,104.72074143,-2.94055561
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_38,Stasiun LRT Asrama Haji (B),38,104.72248886,-2.93967237
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_39,Halte Surveyor Indonesia (B),39,104.72266748,-2.93987947
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_40,Alfamart (B),40,104.72351509,-2.9402229
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_41,PDAM (B),41,104.72394057,-2.94063773
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_42,Griya Hero Abadi (B),42,104.72589485,-2.94149491
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_43,Springhill Talang Kelapa,43,104.72642096,-2.94190784
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_44,Simpang Empat Perumnas Tl. Kelapa,44,104.72788943,-2.94255547
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_45,Kantor Desa Tl. Kelapa,45,104.72821589,-2.94291005
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__1,Stop 1,1,104.71175651,-2.9195411
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__2,Stop 2,2,104.71205783,-2.91670149
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__3,Stop 3,3,104.716083861,-2.91011465013
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__4,Stop 4,4,104.71629453,-2.91031668
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__5,Stop 5,5,104.724832299,-2.90771488472
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__6,Stop 6,6,104.72494742,-2.90782902
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__7,Stop 7,7,104.730483794,-2.90477141573
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__8,Stop 8,8,104.73047674,-2.90497292
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__9,Stop 9,9,104.738298359,-2.90743138008
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__10,Stop 10,10,104.73809742,-2.90766837
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__11,Stop 11,11,104.740407103,-2.9095545581
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__12,Stop 12,12,104.7403014,-2.90974137
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__13,Stop 13,13,104.742913353,-2.91210752408
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__14,Stop 14,14,104.74273271,-2.91221228
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__15,Stop 15,15,104.760535901,-2.91805116326
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__16,Stop 16,16,104.76063538,-2.91826254
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__17,Stop 17,17,104.766285712,-2.91806385251
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__18,Stop 18,18,104.76633447,-2.91833532
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__19,Stop 19,19,104.768752405,-2.91808699047
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__20,Stop 20,20,104.76886635,-2.91835815
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__21,Stop 21,21,104.770618841,-2.92037110455
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__22,Stop 22,22,104.77055292,-2.9203847
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__23,Stop 23,23,104.770048924,-2.92349379555
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__24,Stop 24,24,104.770101868,-2.92348302541
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__25,Stop 25,25,104.770181845,-2.92668722924
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__26,Stop 26,26,104.7702262,-2.92667241
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__27,Stop 27,27,104.770244988,-2.92776128868
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__28,Stop 28,28,104.7703208,-2.92789459
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__29,Stop 29,29,104.77229821,-2.9289333
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__30,Stop 30,30,104.772356522,-2.92898231253
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__31,Stop 31,31,104.77479526,-2.9290902
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__32,Stop 32,32,104.77490599,-2.92897237
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__33,Stop 33,33,104.776738646,-2.92756053645
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__34,Stop 34,34,104.77680282,-2.92785724833
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__35,Stop 35,35,104.78063184,-2.92928383794
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__36,Stop 36,36,104.78092981,-2.92923946
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__37,Stop 37,37,104.782359772,-2.92908207413
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__38,Stop 38,38,104.782380182,-2.92926122972
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__39,Stop 39,39,104.78361746,-2.93127445
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__40,Stop 40,40,104.78369134,-2.93149893
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__41,Stop 41,41,104.786060445,-2.93316006973
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__42,Stop 42,42,104.7860419,-2.93327159
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__43,Stop 43,43,104.78746308,-2.93371215
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__44,Stop 44,44,104.78737103,-2.93381987
