Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.680344,-2.893893,Start (Asrama Haji)
2,104.688298,-2.895906,Stop 2
3,104.694356,-2.898227,Stop 3
4,104.699228,-2.903703,Stop 4
5,104.704615,-2.916197,Stop 5
6,104.710044,-2.922329,Stop 6
7,104.711819,-2.919994,Stop 7
8,104.712113,-2.916219,Stop 8
9,104.711711,-2.919492,Stop 9
10,104.705813,-2.918147,Stop 10
11,104.698754,-2.901022,Stop 11
12,104.688895,-2.895949,Stop 12
13,104.680344,-2.893893,stop 13
